acct_id,active_status,curr_balance,credit_limit,cash_credit_limit,open_date,expiration_date,reissue_date,curr_cycle_credit,curr_cycle_debit,addr_zip,group_id
1,Y,194,2020,1020,2014-11-20,2025-05-20,2025-05-20,0,0,A000000000,
2,Y,158,6130,5448,2013-06-19,2024-08-11,2024-08-11,0,0,A000000000,
3,Y,147,4909,538,2013-08-23,2024-01-10,2024-01-10,0,0,A000000000,
4,Y,40,3503,2789,2012-11-17,2023-12-16,2023-12-16,0,0,A000000000,
5,Y,345,3819,2430,2012-10-03,2025-03-09,2025-03-09,0,0,A000000000,
6,Y,218,3584,2948,2017-12-23,2025-10-08,2025-10-08,0,0,A000000000,
7,Y,193,2065,264,2012-10-12,2024-12-13,2024-12-13,0,0,A000000000,
8,Y,605,6104,1318,2012-01-04,2024-05-20,2024-05-20,0,0,A000000000,
9,Y,560,8201,2065,2016-08-27,2024-12-27,2024-12-27,0,0,A000000000,
10,Y,159,5401,4442,2015-09-13,2023-01-27,2023-01-27,0,0,A000000000,
11,Y,212,4998,3175,2014-09-12,2025-03-12,2025-03-12,0,0,A000000000,
12,Y,176,4636,388,2009-06-17,2023-07-07,2023-07-07,0,0,A000000000,
13,Y,41,7542,4922,2017-10-01,2024-08-04,2024-08-04,0,0,A000000000,
14,Y,15,2254,212,2010-12-04,2025-12-11,2025-12-11,0,0,A000000000,
15,Y,489,8441,3833,2009-10-06,2025-06-09,2025-06-09,0,0,A000000000,
16,Y,733,8922,2632,2014-09-11,2024-01-25,2024-01-25,0,0,A000000000,
17,Y,33,568,510,2014-05-17,2025-03-01,2025-03-01,0,0,A000000000,
18,Y,144,2903,1496,2018-11-15,2023-09-10,2023-09-10,0,0,A000000000,
19,Y,480,6986,3723,2011-12-14,2025-07-23,2025-07-23,0,0,A000000000,
20,Y,369,3767,1040,2014-02-27,2024-03-13,2024-03-13,0,0,A000000000,
21,Y,112,1264,180,2011-10-19,2023-01-06,2023-01-06,0,0,A000000000,
22,Y,55,8599,4712,2016-11-21,2025-12-28,2025-12-28,0,0,A000000000,
23,Y,104,3377,2904,2012-03-15,2025-03-18,2025-03-18,0,0,A000000000,
24,Y,400,5174,4129,2015-08-08,2025-02-11,2025-02-11,0,0,A000000000,
25,Y,61,8194,6582,2012-10-26,2025-07-10,2025-07-10,0,0,A000000000,
26,Y,46,2181,1375,2009-04-20,2024-12-19,2024-12-19,0,0,A000000000,
27,Y,284,5572,2075,2012-09-30,2025-07-13,2025-07-13,0,0,A000000000,
28,Y,68,868,547,2015-05-20,2024-05-09,2024-05-09,0,0,A000000000,
29,Y,339,5511,4361,2015-11-03,2024-06-04,2024-06-04,0,0,A000000000,
30,Y,2,120,93,2011-08-26,2024-06-27,2024-06-27,0,0,A000000000,
31,Y,31,1140,1077,2017-02-25,2025-06-08,2025-06-08,0,0,A000000000,
32,Y,30,1175,846,2013-11-10,2025-05-19,2025-05-19,0,0,A000000000,
33,Y,410,6404,951,2012-10-11,2025-10-07,2025-10-07,0,0,A000000000,
34,Y,253,3642,2770,2009-05-10,2025-10-06,2025-10-06,0,0,A000000000,
35,Y,166,1947,1525,2018-02-02,2025-09-23,2025-09-23,0,0,A000000000,
36,Y,110,3328,839,2018-07-18,2024-12-23,2024-12-23,0,0,A000000000,
37,Y,7,446,166,2016-09-10,2023-10-24,2023-10-24,0,0,A000000000,
38,Y,612,6505,3476,2010-08-12,2023-07-23,2023-07-23,0,0,A000000000,
39,Y,843,9750,6212,2018-08-26,2025-09-08,2025-09-08,0,0,A000000000,
40,Y,43,5823,1674,2010-02-13,2023-10-27,2023-10-27,0,0,A000000000,
41,Y,375,6721,3429,2015-02-07,2023-04-24,2023-04-24,0,0,A000000000,
42,Y,302,6563,5103,2016-09-19,2025-09-19,2025-09-19,0,0,A000000000,
43,Y,610,6168,1206,2012-04-09,2025-08-29,2025-08-29,0,0,A000000000,
44,Y,263,6899,4432,2018-12-01,2024-01-17,2024-01-17,0,0,A000000000,
45,Y,186,2719,688,2010-12-31,2025-07-09,2025-07-09,0,0,A000000000,
46,Y,396,7007,5438,2013-09-06,2025-06-20,2025-06-20,0,0,A000000000,
47,Y,32,2338,159,2014-04-03,2025-08-23,2025-08-23,0,0,A000000000,
48,Y,226,2306,612,2017-03-18,2025-02-06,2025-02-06,0,0,A000000000,
49,Y,100,9048,4807,2019-04-06,2023-09-17,2023-09-17,0,0,A000000000,
50,Y,492,6169,4587,2011-04-22,2023-03-09,2023-03-09,0,0,A000000000,
