acct_group_id,tran_type_cd,tran_cat_cd,int_rate
A000000000,01,0001,15
A000000000,01,0002,25
A000000000,01,0003,25
A000000000,01,0004,25
A000000000,02,0001,0
A000000000,02,0002,0
A000000000,02,0003,0
A000000000,03,0001,0
A000000000,03,0002,0
A000000000,03,0003,0
A000000000,04,0001,15
A000000000,04,0002,15
A000000000,04,0003,15
A000000000,05,0001,15
A000000000,06,0001,15
A000000000,06,0002,15
A000000000,07,0001,15
DEFAULT,01,0001,15
DEFAULT,01,0002,25
DEFAULT,01,0003,25
DEFAULT,01,0004,25
DEFAULT,02,0001,0
DEFAULT,02,0002,0
DEFAULT,02,0003,0
DEFAULT,03,0001,0
DEFAULT,03,0002,0
DEFAULT,03,0003,0
DEFAULT,04,0001,15
DEFAULT,04,0002,15
DEFAULT,04,0003,15
DEFAULT,05,0001,15
DEFAULT,06,0001,15
DEFAULT,06,0002,15
DEFAULT,07,0001,0
ZEROAPR,01,0001,0
ZEROAPR,01,0002,0
ZEROAPR,01,0003,0
ZEROAPR,01,0004,0
ZEROAPR,02,0001,0
ZEROAPR,02,0002,0
ZEROAPR,02,0003,0
ZEROAPR,03,0001,0
ZEROAPR,03,0002,0
ZEROAPR,03,0003,0
ZEROAPR,04,0001,0
ZEROAPR,04,0002,0
ZEROAPR,04,0003,0
ZEROAPR,05,0001,0
ZEROAPR,06,0001,0
ZEROAPR,06,0002,0
ZEROAPR,07,0001,0
