acct_id,tran_type_cd,tran_cat_cd,balance
1,01,0001,0
2,01,0001,0
3,01,0001,0
4,01,0001,0
5,01,0001,0
6,01,0001,0
7,01,0001,0
8,01,0001,0
9,01,0001,0
10,01,0001,0
11,01,0001,0
12,01,0001,0
13,01,0001,0
14,01,0001,0
15,01,0001,0
16,01,0001,0
17,01,0001,0
18,01,0001,0
19,01,0001,0
20,01,0001,0
21,01,0001,0
22,01,0001,0
23,01,0001,0
24,01,0001,0
25,01,0001,0
26,01,0001,0
27,01,0001,0
28,01,0001,0
29,01,0001,0
30,01,0001,0
31,01,0001,0
32,01,0001,0
33,01,0001,0
34,01,0001,0
35,01,0001,0
36,01,0001,0
37,01,0001,0
38,01,0001,0
39,01,0001,0
40,01,0001,0
41,01,0001,0
42,01,0001,0
43,01,0001,0
44,01,0001,0
45,01,0001,0
46,01,0001,0
47,01,0001,0
48,01,0001,0
49,01,0001,0
50,01,0001,0
